quoterevisionid,productDescription,isstockproduct,quoted,firstsold,senttoESVS,Day,Day_Diff
6012512,Sierra Pacific Industries 5/8 in. x 7-1/2 in. x 6 ft. Incense Cedar Dog-Ear Fence Picket 613398,1,2018-04-08,2018-04-10,2018-04-11,Multi Day,3
5751724,4x4-8' #2/Btr Pressure Treated,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,WeatherShield 2 in. x 4 in. x 12 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,WeatherShield 2 in. x 4 in. x 16 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,Sakrete 60 Lb High Strength Concrete Mix,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,"Deck Mate #9x3"" Tan Star Flat Head Wood Deck Screws",1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,2 in. x 4 in. x 8 ft. #2 Ground Contact Pressure-Treated Lumber 106147 288639,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,WeatherShield 2 in. x 4 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,1 in. x 4 in. x 14 ft. Furring Strip Board 0009214 0013714,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5751724,HDX Post Hole Digger 2701333 618010,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
4923435,4 in. x 4 in. Pressure-Treated Unfinished Pine Ball Top Finial 102615,1,2017-10-03,2017-10-03,2017-10-04,Multi Day,1
4923435,WeatherShield 5/4 in. x 6 in. x 8 ft. Standard Ground Contact Pressure-Treated Pine Decking Board 253919 291214,1,2017-10-03,2017-10-03,2017-10-04,Multi Day,1
4923435,Everbilt 1/2 in. x 8 in. External Hex Hex-Head Lag Screws (10-Pack) 801720 87600,1,2017-10-03,2017-10-03,2017-10-04,Multi Day,1
4923435,"Grip-Rite #10x4"" Sharp Point Polymer Coated Steel Phillips Bugle Head Wood Screw",1,2017-10-03,2017-10-03,2017-10-04,Multi Day,1
5336424,4x4-8' #2/Btr Pressure Treated,1,2017-12-06,2017-12-07,2017-12-07,Multi Day,1
5336424,WeatherShield 2 in. x 4 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2017-12-06,2017-12-07,2017-12-07,Multi Day,1
5336424,Quikrete 60 Lb Concrete Mix,1,2017-12-06,2017-12-07,2017-12-07,Multi Day,1
5467123,MDF Panel (Common: 3/4 in. x 4 ft. x 8 ft.; Actual: 0.750 in. x 48 in. x 96 in.) M11161249097000000A,1,2018-01-06,2018-01-10,2018-01-10,Multi Day,4
5015401,4x4-8' #2/Btr Pressure Treated,1,2017-10-16,2017-10-18,2017-10-18,Multi Day,2
5015401,5/8 in. x 5-1/2 in. x 6 ft. Western Red Cedar Dog-Ear Fence Picket 00421 63023,1,2017-10-16,2017-10-18,2017-10-18,Multi Day,2
5015401,2 in. x 4 in. x 8 ft. #2 Ground Contact Pressure-Treated Lumber 106147 288639,1,2017-10-16,2017-10-18,2017-10-18,Multi Day,2
5015401,Quikrete 80 Lb Concrete Mix,1,2017-10-16,2017-10-18,2017-10-18,Multi Day,2
5015401,6x6-8' #2/Btr Pressure Treated,1,2017-10-16,2017-10-18,2017-10-18,Multi Day,2
6033228,1 in. x 5-1/2 in. x 6 ft. Pressure-Treated Pine Dog-Ear Fence Picket 102560,1,2018-04-10,2018-04-11,2018-04-11,Multi Day,1
6033228,WeatherShield 2 in. x 4 in. x 12 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-04-10,2018-04-11,2018-04-11,Multi Day,1
6033228,2 in. x 4 in. x 8 ft. #2 Ground Contact Pressure-Treated Lumber 106147 288639,1,2018-04-10,2018-04-11,2018-04-11,Multi Day,1
6272521,WeatherShield 2 in. x 4 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6272521,2 in. x 4 in. x 8 ft. #2 Ground Contact Pressure-Treated Lumber 106147 288639,1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6272521,4x4-8' #2/Btr Pressure Treated,1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6272521,6x6-8' #2/Btr Pressure Treated,1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6272521,Quikrete 80 Lb Concrete Mix,1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6272521,"Deck Mate #9x3"" Tan Star Flat Head Wood Deck Screws",1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6272521,"Deck Mate #8x1-5/8"" Tan Star Flat Head Wood Deck Screws",1,2018-05-10,2018-05-12,2018-05-12,Multi Day,2
6238371,2x4-10' SPF Std/Btr S4S KD,1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6238371,2x4-12' SPF Std/Btr S4S KD,1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6238371,WeatherShield 2 in. x 6 in. x 8 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253921 291225,1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6238371,WeatherShield 5/4 in. x 6 in. x 10 ft. Standard Ground Contact Pressure-Treated Pine Decking Board 253919 291214,1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6238371,4x4-8' #2/Btr Pressure Treated,1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6238371,"Deck Mate #9x2-1/2"" Tan Star Flat Head Wood Deck Screws",1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6238371,Deck Mate #8 x 1-5/8 in. Star Flat-Head Wood Deck Screws (1 lb.-Pack) DM158G1,1,2018-05-07,2018-05-08,2018-05-08,Multi Day,1
6283131,WeatherShield 42 in. x 2 in. Pressure-Treated Beveled 1-End Baluster 430400,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,2 in. x 8 in. x 12 ft. #2 Prime Ground Contact Pressure-Treated Lumber 107523 288711,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,WeatherShield 5/4 in. x 6 in. x 12 ft. Standard Ground Contact Pressure-Treated Pine Decking Board 253919 291214,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,2 in. x 4 in. x 8 ft. #2 Ground Contact Pressure-Treated Lumber 106147 288639,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,2 in. x 8 in. x 16 ft. #2 Prime Ground Contact Pressure-Treated Lumber 107523,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,4x4-10' #2/Btr Pressure Treated,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,4x4-8' #2/Btr Pressure Treated,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,WeatherShield 2 in. x 4 in. x 10 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,2 in. x 12 in. x 8 ft. #2 Prime or Better Ground Contact Pressure-Treated Lumber 112851 288730,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,WeatherShield 5/4 in. x 6 in. x 8 ft. Standard Ground Contact Pressure-Treated Pine Decking Board 253919 291214,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,WeatherShield 5/4 in. x 6 in. x 10 ft. Standard Ground Contact Pressure-Treated Pine Decking Board 253919 291214,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,WeatherShield 1 in. x 6 in. x 8 ft. Ground Contact Pressure-Treated Board 253935 291281,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,"Deck Mate #9x2-1/2"" Tan Star Flat Head Wood Deck Screws",1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,"Everbilt 1/2""-13x8"" Galvanized Steel Carriage Bolt",1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,FastenMaster 6 in. TimberLok Coarse Steel Hex-Head Heavy-Duty Wood Screws (50-Pack) FMTLOK06-50,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,FastenMaster HeadLok 6 in. Heavy Duty Flathead Fastener (50-Box) FMHLGM006-50,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,Simpson Strong-Tie Strong-Drive #9 x 2-1/2 in. SD Structural-Connector Screw (100-Pack) SD9212R100-R,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,LUS28Z Simpson Strong-Tie 18 GA 2x8 Double Shear Face Mount Joist Hanger,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,FastenMaster 3-5/8 in. LedgerLok Coarse Steel Hex-Head Ledger Board Fasteners (12-Pack) FMLL358-12,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,ThruLOK 6-1/4 in. Screw Bolt Fastening System FMTHR614-INDY,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,"Grip-Rite #11x1-1/4"" Electro Galvanized Steel Roofing Nails",1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,Everbilt 1/2 in. Zinc-Plated Coarse Threaded Hex Nut 804716,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6283131,Everbilt 1/2 in. Hot Dipped Galvanized Cut Washer 807306,1,2018-05-12,2018-05-23,2018-05-18,Multi Day,6
6123347,2 in. x 12 in. x 8 ft. #2 Prime or Better Ground Contact Pressure-Treated Lumber 112851 288730,1,2018-04-23,2018-04-25,2018-04-25,Multi Day,2
6123347,WeatherShield 5/4 in. x 6 in. x 12 ft. Standard Ground Contact Pressure-Treated Pine Decking Board 253919 291214,1,2018-04-23,2018-04-25,2018-04-25,Multi Day,2
6244562,Roofers Choice 67 Kool Top Fibered Mobile Home Coating,1,2018-05-08,2018-05-09,2018-05-09,Multi Day,1
6244562,9 in. x 1/2 in. High-Capacity Polyester Knit Roller Cover (3-Pack) HD RS3503 0900N,1,2018-05-08,2018-05-09,2018-05-09,Multi Day,1
6244562,9 in. Professional Wood-Handled Roller Frame RF209W-9,1,2018-05-08,2018-05-09,2018-05-09,Multi Day,1
6244562,Economy 4 ft. Wood Extension Pole with Metal Tip RP 548 HM,1,2018-05-08,2018-05-09,2018-05-09,Multi Day,1
